MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
5.464,5.928,0.4640000000000001
5.407500000000001,5.855,0.4474999999999998
5.279999999999999,5.72,0.44000000000000017
5.168,5.582,0.41400000000000003
5.2775,5.695,0.4175
5.4,5.82,0.41999999999999993
5.358,5.774,0.4159999999999998
5.625,6.065,0.43999999999999995
5.8625,6.33,0.46750000000000025
5.816,6.272,0.45600000000000007
5.71,6.145,0.43500000000000005
5.859999999999999,6.2525,0.3925000000000003
5.968,6.324,0.35600000000000004
6.154999999999999,6.5075,0.35250000000000026
6.205,6.5975,0.39249999999999985
6.306,6.6819999999999995,0.376
6.390000000000001,6.7625,0.37249999999999983
6.1979999999999995,6.523999999999999,0.3260000000000002
6.077500000000001,6.4025,0.32499999999999973
6.05,6.3575,0.30750000000000033
5.956,6.24,0.2839999999999998
5.88,6.135,0.2550000000000001
5.965,6.2175,0.2524999999999997
6.02,6.285,0.2650000000000001
5.884,6.156000000000001,0.2719999999999997
5.8825,6.18,0.2974999999999999
5.968,6.2620000000000005,0.29400000000000015
6.34,6.657500000000001,0.31750000000000034
6.359999999999999,6.695,0.3350000000000004
6.234,6.572,0.3379999999999999
6.0475,6.3825,0.33499999999999974
6.04,6.375,0.3350000000000002
5.85,6.208,0.3579999999999998
5.7525,6.095,0.3424999999999998
5.287999999999999,5.758,0.4700000000000003
5.4399999999999995,5.9175,0.47750000000000004
5.42,5.97,0.5500000000000003
5.465,5.9175,0.4524999999999999
5.6,6.036,0.4360000000000001
5.91,6.32,0.41000000000000014
5.9719999999999995,6.425999999999999,0.45399999999999974
6.025,6.4775,0.4524999999999999
5.64,6.0375,0.39749999999999996
5.892,6.2,0.308
5.79,6.0875,0.2974999999999999
5.038,5.286,0.24799999999999986
4.7175,5.047499999999999,0.32999999999999985
4.7725,5.13,0.3575000000000004
4.6375,5.0025,0.3650000000000002
4.5,4.8100000000000005,0.30999999999999994
4.515,4.8575,0.34250000000000025
4.9025,5.42,0.5175000000000001
4.692,5.2219999999999995,0.53
4.6125,5.1925,0.5800000000000001
4.4925,5.0575,0.5650000000000002
4.39,4.952,0.562
4.3425,4.875,0.5325
4.392,4.93,0.5379999999999999
4.4350000000000005,5.03,0.595
4.3675,4.99,0.6224999999999996
4.33,4.9675,0.6375
4.418,5.098000000000001,0.6800000000000003
4.2775,4.8875,0.6099999999999999
4.175,4.7375,0.5625
4.04,4.564,0.524
3.9074999999999998,4.4275,0.5200000000000002
3.81,4.346,0.5360000000000001
3.66,4.225,0.565
3.6825,4.3,0.6175000000000002
4.058,4.714,0.6559999999999999
4.0875,4.755,0.6675
4.215,4.9525,0.7375
4.08,4.836,0.7559999999999998
4.055,4.84,0.7850000000000003
3.8225,4.6375,0.8150000000000001
3.694,4.51,0.8160000000000001
3.68,4.545,0.8649999999999997
3.46,4.27,0.81
3.318,4.106,0.7879999999999999
3.3475,4.0675,0.7200000000000001
3.3049999999999997,3.9925,0.6875000000000001
3.246,3.9579999999999997,0.7120000000000001
3.2,3.915,0.715
3.1625,3.89,0.7275
3.198,3.9539999999999997,0.756
3.1425,3.91,0.7675
3.034,3.7979999999999996,0.764
2.9525,3.675,0.7225
2.8449999999999998,3.55,0.7050000000000001
2.8600000000000003,3.6019999999999994,0.742
2.8025,3.4975,0.695
2.6925,3.3825000000000003,0.69
2.662,3.3519999999999994,0.69
2.6574999999999998,3.3449999999999998,0.6875
2.696,3.414,0.7179999999999997
2.7675,3.5324999999999998,0.7649999999999999
2.7575,3.565,0.8075
