YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,10.8,10.4,10.4,10.5,9.1,8.0,7.2,6.7,7.3,8.7,10.0,10.2,9.1,14848,SOUTH BEND,IN
198401-202012,10.6,10.4,11.1,11.4,10.0,9.1,8.3,7.8,8.8,9.7,10.5,10.2,9.8,14933,DES MOINES,IA
198401-202012,11.4,11.4,11.8,12.3,10.6,9.1,7.9,7.6,8.7,10.3,11.3,10.9,10.3,94908,DUBUQUE,IA
198401-202012,11.1,11.1,11.7,12.4,11.3,9.8,8.2,8.0,9.1,10.1,10.8,10.7,10.4,14943,SIOUX CITY,IA
198401-202012,10.6,10.6,11.3,11.9,10.4,8.9,7.6,7.2,8.4,9.6,10.4,10.1,9.8,94910,WATERLOO,IA
198401-202012,10.8,11.1,12.4,12.8,11.2,11.1,10.1,9.5,10.5,10.8,11.3,10.6,11.0,13984,CONCORDIA,KS
198401-202012,12.4,13.0,14.3,14.8,13.7,13.6,12.3,11.6,12.9,12.8,12.9,12.4,13.1,13985,DODGE CITY,KS
198401-202012,11.9,12.4,13.3,14.1,13.0,12.2,11.1,10.6,11.4,11.7,11.9,11.7,12.1,23065,GOODLAND,KS
198401-202012,8.3,8.5,9.7,9.9,8.4,7.9,6.8,6.2,6.9,7.7,8.4,7.9,8.0,13996,TOPEKA,KS
198401-202012,11.1,11.6,12.9,13.3,11.8,11.9,10.7,10.1,10.9,11.2,11.6,10.8,11.5,03928,WICHITA,KS
198401-202012,6.1,6.2,6.3,6.1,4.3,3.6,3.2,3.1,3.5,4.2,5.4,5.7,4.8,03889,JACKSON,KY
198401-202012,9.5,9.3,9.4,9.2,7.6,6.8,6.1,5.9,6.4,7.3,8.5,8.8,7.9,93820,LEXINGTON,KY
198401-202012,9.0,9.0,9.1,9.0,7.7,7.2,6.6,6.2,6.4,7.1,8.1,8.3,7.8,93821,LOUISVILLE,KY
198410-202012,8.3,8.4,8.8,8.3,6.8,5.8,5.3,4.7,5.1,6.2,7.5,7.8,6.9,03816,PADUCAH,KY
198401-202012,7.2,7.7,7.6,7.6,6.6,5.8,5.2,4.9,5.4,5.6,6.2,6.7,6.4,13970,BATON ROUGE,LA
198401-202012,8.7,9.1,8.9,8.8,7.7,6.5,5.5,5.3,6.5,7.2,7.9,8.5,7.6,03937,LAKE CHARLES,LA
198401-202012,9.1,9.4,9.2,9.3,8.1,6.7,5.9,6.1,7.2,7.9,8.3,8.7,8.0,12916,NEW ORLEANS,LA
198401-202012,8.1,8.5,8.7,8.6,7.7,6.6,6.1,5.7,6.2,6.4,7.3,7.6,7.3,13957,SHREVEPORT,LA
198401-202012,8.4,8.5,9.1,8.8,8.4,7.5,6.6,6.3,7.1,7.9,8.3,8.2,7.9,14607,CARIBOU,ME
198401-202012,8.1,8.5,9.3,9.2,8.3,7.5,6.9,6.7,7.0,7.7,7.9,8.0,7.9,14764,PORTLAND,ME
198401-202012,7.9,8.2,8.8,8.5,7.3,6.7,6.2,5.8,6.3,6.5,7.1,7.4,7.2,93721,BALTIMORE,MD
198401-202012,12.6,12.6,12.8,12.2,11.2,10.6,10.2,9.9,10.4,11.3,11.6,12.3,11.5,14739,BOSTON,MA
198401-202012,11.4,11.5,11.4,10.8,9.9,9.2,8.8,8.4,8.8,9.9,10.7,11.3,10.2,94746,WORCESTER,MA
198401-202011,8.3,8.4,8.4,8.8,7.9,6.9,6.4,6.2,6.6,7.6,8.2,8.0,7.6,94849,ALPENA,MI
198401-202012,11.0,10.5,10.4,10.4,9.1,8.4,7.9,7.3,7.7,9.2,10.3,10.5,9.4,94847,DETROIT,MI
198401-202012,10.4,10.2,10.2,10.3,9.1,7.9,7.2,6.8,7.5,8.8,9.8,9.8,9.0,14826,FLINT,MI
198401-202012,10.8,10.6,10.5,10.8,9.5,8.5,7.9,7.4,7.8,9.2,10.2,10.3,9.5,94860,GRAND RAPIDS,MI
