YRS,CL,PC,CD,CL.1,PC.1,CD.1,CL.2,PC.2,CD.2,CL.3,PC.3,CD.3,CL.4,PC.4,CD.4,CL.5,PC.5,CD.5,CL.6,PC.6,CD.6,CL.7,PC.7,CD.7,CL.8,PC.8,CD.8,CL.9,PC.9,CD.9,CL.10,PC.10,CD.10,CL.11,PC.11,CD.11,CL.12,PC.12,CD.12,ID,CITY,STATE
47,9,13,9,8,12,8,8,14,9,6,14,10,7,16,9,6,17,6,7,18,5,8,17,6,8,16,6,7,15,8,7,14,9,8,14,9,90,181,94,22521,HONOLULU,HI
37,13,10,8,11,9,7,11,11,9,8,12,10,10,14,8,11,13,6,11,15,5,12,14,5,12,13,6,11,13,8,11,11,8,12,11,8,131,145,90,22516,KAHULUI, HI
46,8,13,10,7,12,9,5,14,12,3,14,13,3,17,11,3,17,9,3,19,10,4,18,9,5,18,7,5,16,10,4,14,12,6,14,11,56,184,125,22536,LIHUE, HI
56,4,5,22,5,6,17,6,7,18,6,9,15,8,10,13,12,10,8,20,7,3,19,8,4,17,7,6,12,8,11,6,6,18,5,6,20,120,90,155,24131,BOISE, ID
42,3,4,24,3,5,21,4,6,21,5,6,19,6,9,16,8,9,13,18,7,6,16,8,7,13,7,9,9,7,15,3,6,22,3,4,24,91,78,196,24149,LEWISTON, ID
46,3,7,22,4,6,18,5,8,18,6,8,16,7,10,14,12,9,9,17,9,5,16,11,5,15,8,7,12,8,11,5,7,18,3,7,21,106,98,162,24156,POCATELLO, ID
30,8,6,17,8,6,14,9,8,15,8,9,13,8,10,13,8,12,10,9,13,10,12,11,8,12,9,9,15,7,9,9,8,13,8,7,16,113,104,149,93809,CAIRO,IL
37,7,6,18,6,6,16,5,8,18,6,8,16,7,10,14,7,11,11,8,12,10,9,11,11,9,10,11,9,9,14,5,6,18,6,6,19,84,105,176,94846,CHICAGO,IL
62,8,7,16,7,6,15,6,8,17,7,9,15,8,9,14,7,11,12,10,12,9,10,11,10,12,8,11,12,8,12,7,7,16,7,6,18,101,100,164,14923,MOLINE, IL
52,7,6,18,7,6,16,6,7,18,6,8,16,7,10,14,7,11,12,9,12,10,10,10,10,11,9,10,11,8,12,7,6,17,7,6,19,95,97,172,14842,PEORIA, IL
45,7,7,17,7,6,15,6,8,17,6,8,16,8,9,14,7,11,12,9,12,10,9,11,11,10,9,12,10,7,13,6,6,18,7,6,19,93,98,174,94822,ROCKFORD, IL
48,7,6,17,7,6,15,6,7,18,7,8,15,8,9,14,8,9,12,10,11,10,11,10,10,12,8,10,12,7,12,8,6,16,7,6,18,104,94,167,93822,SPRINGFIELD, IL
55,7,5,19,7,6,15,7,8,16,7,8,15,8,9,14,8,11,10,9,12,9,11,11,9,11,8,10,13,7,11,8,7,15,7,6,18,102,100,163,93817,EVANSVILLE, IN
49,5,6,20,5,7,17,5,7,19,6,7,17,7,9,15,6,12,12,8,12,11,9,12,11,9,9,12,10,8,14,5,6,19,4,6,21,78,102,186,14827,FORT WAYNE, IN
