ID,CITY,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,YRS
93820,LEXINGTON,KY,32.9,36.9,45.5,55.3,64.2,72.7,76.2,75.3,68.1,57.0,46.3,36.0,55.5,30
13810,LOUISVILLE,KY,34.5,38.1,47.0,57.1,66.3,75.1,77.8,77.5,69.6,58.2,47.5,37.2,57.2,30
3816,PADUCAH,KY,34.6,39.2,48.3,58.0,67.2,75.6,78.9,77.5,69.9,58.8,48.1,37.5,57.8,30
13970,BATON ROUGE,LA,51.7,55.1,61.5,68.1,75.7,81.1,83.0,82.9,78.6,69.3,60.4,53.4,68.4,30
3937,LAKE CHARLES,LA,51.8,55.0,61.4,68.1,75.6,81.0,82.9,83.0,78.6,70.1,61.1,53.8,68.5,30
12916,NEW ORLEANS,LA,53.4,56.7,62.6,69.1,76.7,81.5,83.3,83.3,79.7,71.3,62.7,55.6,69.7,30
53905,SHREVEPORT,LA,46.4,50.3,57.4,64.7,73.4,80.0,83.0,83.2,76.3,66.0,56.3,47.9,65.4,30
14607,CARIBOU,ME,10.2,14.1,24.5,38.6,51.5,60.7,65.6,63.6,55.0,43.3,31.5,18.2,39.7,30
14764,PORTLAND,ME,22.3,25.5,33.5,44.0,53.9,63.4,69.1,68.0,60.1,48.8,39.4,28.8,46.4,30
93721,BALTIMORE,MD,32.9,35.8,43.6,53.7,62.9,72.4,77.0,75.1,67.8,56.1,46.5,36.7,55.0,30
14753,BLUE HILL,MA,25.5,27.9,35.5,46.7,57.1,66.1,71.9,70.5,63.1,51.6,41.7,31.3,49.1,30
14739,BOSTON,MA,29.0,31.7,38.3,48.1,57.9,67.7,73.4,72.1,64.9,54.0,44.7,34.7,51.4,30
94746,WORCESTER,MA,24.1,27.0,34.7,46.0,56.3,65.0,70.2,68.8,61.2,50.0,40.3,29.4,47.8,30
94849,ALPENA,MI,19.1,20.3,28.7,41.6,52.5,62.1,67.4,65.4,57.7,46.2,35.7,25.0,43.5,30
14822,DETROIT,MI,25.8,28.2,36.6,48.5,59.4,69.3,73.9,72.2,64.6,52.5,41.6,30.3,50.2,30
14826,FLINT,MI,22.4,24.8,34.1,46.4,56.9,66.5,70.5,68.8,61.1,49.5,38.9,27.4,47.3,30
94860,GRAND RAPIDS,MI,24.4,26.8,35.6,48.0,58.7,68.4,72.5,70.8,62.8,51.0,40.1,29.2,49.0,30
94814,HOUGHTON LAKE,MI,18.1,20.0,29.1,42.6,53.9,62.9,67.1,65.0,57.2,45.8,34.9,23.9,43.4,30
14836,LANSING,MI,23.4,25.9,35.1,47.4,57.7,67.6,71.5,69.8,61.9,50.3,39.6,28.3,48.2,30
14838,MARQUETTE,MI,18.8,20.7,29.0,40.1,51.0,59.9,66.6,66.6,59.4,47.3,34.8,23.5,43.1,30
14840,MUSKEGON,MI,25.4,27.1,35.0,46.6,56.9,66.3,71.1,69.9,62.1,50.7,40.2,30.2,48.5,30
14847,SAULT STE. MARIE,MI,15.3,17.6,26.3,40.2,51.8,60.0,65.3,64.6,57.1,45.6,34.1,22.2,41.7,30
14913,DULUTH,MN,10.2,15.1,25.9,39.6,51.4,60.1,65.8,64.3,55.6,43.2,28.8,14.8,39.6,30
14918,INTERNATIONAL FALLS,MN,4.4,10.3,23.6,39.3,51.8,60.8,65.2,63.3,53.6,41.1,25.5,9.7,37.4,30
14922,MINNEAPOLIS-ST.PAUL,MN,15.6,20.8,32.8,47.5,59.1,68.8,73.8,71.2,62.0,48.9,33.7,19.7,46.2,30
14925,ROCHESTER,MN,15.7,20.3,32.4,46.7,58.1,67.6,71.4,69.1,60.9,48.4,33.8,19.7,45.3,30
