CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
NEW ORLEANS,LA,197300.0,179400,182400,176400,191400,184200,186300,178900,191300,196000,205500,204900,194300,192400,191500.0,209800.0,210500.0,209100.0,213400.0,205200.0,214800.0,214600.0,237500.0,250700.0,248100.0,249000.0
ARLINGTON,TX,200000.0,199900,196900,197800,196600,195500,196000,202500,203900,205600,204000,206300,210000,210400,212800.0,208700.0,210300.0,210600.0,216000.0,220400.0,222800.0,228100.0,227600.0,231300.0,229800.0,
KNOXVILLE,TN,168900.0,168800,168500,166300,163600,162800,161000,163300,166000,170200,170600,170100,172400,174400,178600.0,177800.0,181400.0,179200.0,184000.0,185900.0,186300.0,185100.0,188100.0,193300.0,202800.0,
BATON ROUGE,LA,184300.0,180200,175400,172300,172000,169700,171300,171100,170000,172500,172200,175700,176100,179700,176500.0,176500.0,179600.0,183300.0,179500.0,176500.0,176400.0,179000.0,180900.0,183000.0,184700.0,189700.0
WICHITA,KS,131600.0,133000,134400,136000,138700,138900,140700,139600,139300,137600,139300,146700,147400,151800,146100.0,152900.0,151100.0,158100.0,155400.0,156300.0,152300.0,156600.0,161000.0,158100.0,156600.0,
TAMPA,FL,209500.0,218500,217200,214100,211600,213900,215800,218000,218500,224400,228100,229800,227600,219900,220700.0,222100.0,229000.0,228400.0,234000.0,232800.0,240500.0,244700.0,249000.0,262800.0,271700.0,
AURORA,CO,310400.0,313600,314300,315600,318300,320800,321100,319400,322000,326000,328800,331000,332400,333500,334300.0,333600.0,333000.0,330400.0,332800.0,334500.0,337300.0,338200.0,342900.0,346800.0,349300.0,351900.0
RIVERSIDE,CA,395900.0,394000,395100,397400,398900,398900,395600,405100,406000,403800,408000,412500,421500,416400,415800.0,413800.0,414400.0,411800.0,414100.0,416200.0,416600.0,418700.0,416300.0,423600.0,422700.0,
BAKERSFIELD,CA,234400.0,233400,232500,234100,235800,234800,234000,235800,241800,242100,242300,241900,242800,246800,246400.0,249400.0,249700.0,250100.0,248200.0,249500.0,253200.0,259200.0,262300.0,263200.0,262200.0,
CINCINNATI,OH,146700.0,150400,157700,156000,153200,143600,145000,143000,150300,148100,151000,154000,158400,159600,157200.0,156100.0,155100.0,152900.0,151700.0,152900.0,152400.0,150600.0,150800.0,158000.0,171200.0,
